mourir - indicatif - présent - troisième_pluriel,mourir,meurent,\[il/ɛl] mœʁ\,indicatif,présent,troisième_pluriel
mourir - indicatif - imparfait - première_singulier,mourir,mourais,\ʒə mu.ʁɛ\,indicatif,imparfait,première_singulier
mourir - indicatif - imparfait - deuxième_singulier,mourir,mourais,\ty mu.ʁɛ\,indicatif,imparfait,deuxième_singulier
mourir - indicatif - imparfait - troisième_singulier,mourir,mourait,\[il/ɛl/ɔ̃] mu.ʁɛ\,indicatif,imparfait,troisième_singulier
mourir - indicatif - imparfait - première_pluriel,mourir,mourions,\nu mu.ʁjɔ̃\,indicatif,imparfait,première_pluriel
mourir - indicatif - imparfait - deuxième_pluriel,mourir,mouriez,\vu mu.ʁje\,indicatif,imparfait,deuxième_pluriel
mourir - indicatif - imparfait - troisième_pluriel,mourir,mouraient,\[il/ɛl] mu.ʁɛ\,indicatif,imparfait,troisième_pluriel
mourir - indicatif - passé_simple - première_singulier,mourir,mourus,\ʒə mu.ʁy\,indicatif,passé simple,première_singulier
mourir - indicatif - passé_simple - deuxième_singulier,mourir,mourus,\ty mu.ʁy\,indicatif,passé simple,deuxième_singulier
mourir - indicatif - passé_simple - troisième_singulier,mourir,mourut,\[il/ɛl/ɔ̃] mu.ʁy\,indicatif,passé simple,troisième_singulier
mourir - indicatif - passé_simple - première_pluriel,mourir,mourûmes,\nu mu.ʁym\,indicatif,passé simple,première_pluriel
mourir - indicatif - passé_simple - deuxième_pluriel,mourir,mourûtes,\vu mu.ʁyt\,indicatif,passé simple,deuxième_pluriel
mourir - indicatif - passé_simple - troisième_pluriel,mourir,moururent,\[il/ɛl] mu.ʁyʁ\,indicatif,passé simple,troisième_pluriel
mourir - indicatif - futur_simple - première_singulier,mourir,mourrai,\ʒə muʁ.ʁe\,indicatif,futur simple,première_singulier
mourir - indicatif - futur_simple - deuxième_singulier,mourir,mourras,\ty muʁ.ʁa\,indicatif,futur simple,deuxième_singulier
mourir - indicatif - futur_simple - troisième_singulier,mourir,mourra,\[il/ɛl/ɔ̃] muʁ.ʁa\,indicatif,futur simple,troisième_singulier
mourir - indicatif - futur_simple - première_pluriel,mourir,mourrons,\nu muʁ.ʁɔ̃\,indicatif,futur simple,première_pluriel
